Date,Close/Last,Volume,Open,High,Low
02/14/2025,$244.60,40896230,$241.25,$245.55,$240.99
02/13/2025,$241.53,53614050,$236.91,$242.3399,$235.57
02-12-2025,$236.87,45243290,$231.20,$236.96,$230.68
02-11-2025,$232.62,53718360,$228.20,$235.23,$228.13
02-10-2025,$227.65,33115650,$229.57,$230.585,$227.20
02-07-2025,$227.63,39707220,$232.60,$234.00,$227.26
02-06-2025,$233.22,29925350,$231.285,$233.80,$230.425
02-05-2025,$232.47,39664990,$228.53,$232.67,$228.27
02-04-2025,$232.80,45067300,$227.25,$233.13,$226.65
02-03-2025,$228.01,73063300,$229.99,$231.83,$225.70
01/31/2025,$236.00,101075100,$247.19,$247.19,$233.44
01/30/2025,$237.59,55658280,$238.665,$240.79,$237.21
01/29/2025,$239.36,45486100,$234.12,$239.855,$234.01
01/28/2025,$238.26,75707570,$230.85,$240.19,$230.81
01/27/2025,$229.86,94863420,$224.02,$232.15,$223.98
01/24/2025,$222.78,54697910,$224.78,$225.63,$221.41
01/23/2025,$223.66,60234760,$224.74,$227.03,$222.30
01/22/2025,$223.83,64126500,$219.79,$224.12,$219.79
01/21/2025,$222.64,98070430,$224.00,$224.42,$219.38
01/17/2025,$229.98,68488300,$232.115,$232.29,$228.48
01/16/2025,$228.26,71759050,$237.35,$238.01,$228.03
01/15/2025,$237.87,39831970,$234.635,$238.96,$234.43
01/14/2025,$233.28,39435290,$234.75,$236.12,$232.472
01/13/2025,$234.40,49630730,$233.53,$234.67,$229.72
01-10-2025,$236.85,61710860,$240.01,$240.16,$233.00
01-08-2025,$242.70,37628940,$241.92,$243.7123,$240.05
01-07-2025,$242.21,40855960,$242.98,$245.55,$241.35
01-06-2025,$245.00,45045570,$244.31,$247.33,$243.20
01-03-2025,$243.36,40244110,$243.36,$244.18,$241.89
01-02-2025,$243.85,55740730,$248.93,$249.10,$241.8201
12/31/2024,$250.42,39480720,$252.44,$253.28,$249.43
12/30/2024,$252.20,35557540,$252.23,$253.50,$250.75
12/27/2024,$255.59,42355320,$257.83,$258.70,$253.06
12/26/2024,$259.02,27262980,$258.19,$260.10,$257.63
12/24/2024,$258.20,23234710,$255.49,$258.21,$255.29
12/23/2024,$255.27,40858770,$254.77,$255.65,$253.45
12/20/2024,$254.49,147495300,$248.04,$255.00,$245.69
12/19/2024,$249.79,60882260,$247.50,$252.00,$247.0949
